"Handle","Title","Body (HTML)","Vendor","Type","Tags","Published","Option1 Name","Option1 Value","Variant Price","Variant Inventory Tracker","Variant Inventory Qty","Variant Inventory Policy","Variant Fulfillment Service","Variant Requires Shipping","Variant Taxable","Variant Weight","Variant Weight Unit","Image Src","Image Position"
"hq-pellet-70-sacos","HQ PELLET – 70 SACOS","<p>Pellet de madera de pino descortezado y sin aditivos, certificado por EnPlus A1.</p>
<p>Las características que diferencian a HQ Pellet son:</p>
<p>– Madera de pino de calidad superior, lo que permite una combustión eficiente y muy potente.</p>
<p>– Certificación EnPlus A1</p>
<p>– Sin aditivos ni sustancias químicas, lo que lo convierte en una opción respetuosa con el medio ambiente.</p>
<p>– Bajo nivel de humedad, mejorando la eficiencia de la combustión.</p>
<p>– Producto 100% fabricado en España.</p>
<p>– Ideal para estufas y calderas.</p>
<p>Consigue un rendimiento superior y eficiente con HQ Pellet.</p>
<p>70 sacos de pellet – Marca HQ Pellet</p>
<p>Proporciona un calor ecológico, limpio y seguro.</p>
<p>Disponemos de ENTREGA GRATIS en toda España.</p>","Maderas y Palets San Cristobal Sl","Pellets","pellets,biomasse,chauffage","TRUE","Titre","Par défaut","199.00","","","deny","manual","TRUE","TRUE","","kg","https://pelletsherrera.es/35-large_default/hq-pellet-70-sacos.jpg",1
"madeluis-envase-pellet-eco-65-sacos","MADELUIS – ENVASE PELLET ECO – 65 SACOS","<p>Pellet de calidad y certificado. Palet con 65 sacos. Saco de papel ecológico.</p>
<p>Partiendo del serrín seco 100% Pino, tras los controles de producción se consigue un pellet cuyas características cumplen las normas fijadas por EN-PLUS A1.</p>
<p>Para la formación del Pellet se realiza con la única aplicación de calor, producido por la matriz y rodillos sin necesidad de utilizar ningún aditivo.</p>
<p>Disponemos de ENTREGA GRATIS en toda España.</p>
<p>Pellets Certificados al Mejor | Entrega gratis y Rápida</p>
<p>Productos de calefacción ecológicos. Envío urgente Gratis desde España, una oferta especializada.</p>","Maderas y Palets San Cristobal Sl","Pellets","pellets,biomasse,chauffage","TRUE","Titre","Par défaut","199.00","","","deny","manual","TRUE","TRUE","","kg","https://pelletsherrera.es/34-large_default/madeluis-envase-pellet-eco-65-sacos.jpg",1
"magnus-pellet-70-sacos","MAGNUS PELLET – 70 SACOS","<p>Magnus Pellet en formato de Palet de 70 sacos con 15 kg de pellets cada uno.</p>
<p>Pellets de calidad, con gran poder calorífico.</p>
<p>Oferta válida hasta fin de existencias</p>
<p>Proporciona un calor ecológico, limpio y seguro.</p>
<p>Disponemos de ENTREGA GRATIS en toda España.</p>","Maderas y Palets San Cristobal Sl","Pellets","pellets,biomasse,chauffage","TRUE","Titre","Par défaut","207.00","","","deny","manual","TRUE","TRUE","","kg","https://pelletsherrera.es/33-large_default/magnus-pellet-70-sacos.jpg",1
"palet-de-77-sacos-de-pellets-kingfoc","PALET DE 77 SACOS DE PELLETS KINGFOC","<p>Palet de 77 sacos de pellets KINGFOC.</p>
<p>Palet con 77 sacos de pellets de 15 kg cada uno, que generan una alto poder calorífico con muy bajos niveles de CO₂ (lo que contribuye a reducir las emisiones de gases perjudiciales al medioambiente) en las calderas, hogueras o estufas compatibles. Está compuesto por madera de pino y cuenta con las certificaciones EN Plus A1, que garantiza que se ha utilizado madera virgen, sin tratamientos químicos, y el sello PEFC, que certifica que la madera que contiene proviene de bosques gestionados de forma sostenible y respetuosa con el medioambiente. Contenido del palet: 1.155 kg. Transporte incluido a pie de vehículo, exclusivamente en España.</p>
<p>Producto ecológico y respetuoso con el medioambiente con casi 0 emisiones de CO2. Alto poder calorífico</p>
<p>Alto poder calorífico</p>","Maderas y Palets San Cristobal Sl","Pellets","pellets,biomasse,chauffage","TRUE","Titre","Par défaut","260.00","","","deny","manual","TRUE","TRUE","","kg","https://pelletsherrera.es/32-large_default/palet-de-77-sacos-de-pellets-kingfoc.jpg",1
"palet-de-80-sacos-de-pellets-total-energies","PALET DE 80 SACOS DE PELLETS TOTAL ENERGIES","<p>Palet de 80 sacos de pellets Total Energies.</p>
<p>Producción : Alemania</p>
<p>Color : Natural</p>
<p>Longitud : 3,15 – 40 mm</p>
<p>Diámetro : 6 (± 1) mm</p>
<p>Poder calorífico : ≥ 16,5 MJ/kg</p>
<p>Contenido de cenizas : ≤ 0,7 %</p>
<p>Punto de fusión de las cenizas ( : ≥ 1200 °C)</p>
<p>Resistencia : &gt; 98,0 %</p>
<p>Finos : ≤ 0,5 %</p>
<p>Densidad aparente : ≥ 600,00 kg/m³</p>
<p>Contenido de agua : ≤ 10 %</p>
<p>Peso : 15 kg por saco</p>","Maderas y Palets San Cristobal Sl","Pellets","pellets,biomasse,chauffage","TRUE","Titre","Par défaut","240.00","","","deny","manual","TRUE","TRUE","","kg","https://pelletsherrera.es/31-large_default/palet-de-80-sacos-de-pellets-total-energies.jpg",1
"pellet-certificado-en-plus-a1-77-sacos","PELLET CERTIFICADO EN PLUS A1 – 77 SACOS","<p>Pellets de gran calidad. Cuentan con la certificación EnPLUS A1, ofrecen mucho poder calorífico y generan poco residuo (Ceniza).</p>
<p>Están fabricados con serrín de pino, 100% descortezado y no llevan ningún tipo de aditivo.</p>
<p>Proporciona un calor ecológico, limpio y seguro.</p>
<p>Disponemos de ENTREGA GRATIS en toda España</p>","Maderas y Palets San Cristobal Sl","Pellets","pellets,biomasse,chauffage","TRUE","Titre","Par défaut","205.00","","","deny","manual","TRUE","TRUE","","kg","https://pelletsherrera.es/30-large_default/pellet-certificado-en-plus-a1-77-sacos.jpg",1
"pellets-asturias-77-sacos","PELLETS ASTURIAS – 77 SACOS","<p>Primer fabricante que consiguió&nbsp; obtener la Certificación ENplus A1 en España y consiguiendo a día de hoy tener todas las certificaciones tanto de calidad como de sostenibilidad posibles.</p>
<p>Mejorando con creces las exigencias de las normas de calidad, lo que da como resultado un producto con más calidad y menos residuos, siendo más eficiente y reduciendo el consumo. Utilizando la mejor materia prima y teniendo un constante y riguroso control de nuestro proceso de fabricación.</p>
<p>El saco tiene un gran porcentaje de plástico reciclado.</p>
<p>Proporciona un calor ecológico, limpio y seguro.</p>
<p>Disponemos de ENTREGA GRATIS en toda España.</p>","Maderas y Palets San Cristobal Sl","Pellets","pellets,biomasse,chauffage","TRUE","Titre","Par défaut","205.00","","","deny","manual","TRUE","TRUE","","kg","https://pelletsherrera.es/29-large_default/pellets-asturias-77-sacos.jpg",1
"planeta-verde-palet-de-77-sacos","PLANETA VERDE – PALET DE 77 SACOS","<p>Planeta verde se trata de un pellet de gran calidad, con un porcentaje muy bajo de cenizas y un poder calorífico muy alto.</p>
<p>Producción 100% nacional procedente de bosques locales gestionados de forma sostenible.</p>
<p>El envase de Planeta verde está elaborado con más de un 60% de plástico reciclado, contribuyendo a que el mundo sea más limpio.</p>
<p>Se presenta en Palet de 77 sacos de 15 kilos de pellets.</p>
<p>Disponemos de ENTREGA GRATIS en toda España.</p>
<p>Pellets Certificados al Mejor | Entrega gratis y Rápida</p>
<p>Productos de calefacción ecológicos. Envío urgente Gratis desde España, una oferta especializada.</p>","Maderas y Palets San Cristobal Sl","Pellets","pellets,biomasse,chauffage","TRUE","Titre","Par défaut","180.00","","","deny","manual","TRUE","TRUE","","kg","https://pelletsherrera.es/28-large_default/planeta-verde-palet-de-77-sacos.jpg",1
"naturpellet-palet-70-sacos","NATURPELLET – PALET 70 SACOS","<p>Naturpellet, uno de los mejores pellets del mercado.</p>
<p>Disponemos de ENTREGA GRATIS en toda España.</p>
<p>Fabricados a partir de materia prima de gran calidad, y mejorando día a día el proceso de producción para conseguir unos óptimos valores de que le hacen contar con la doble certificación EnPlus A1 y Din Plus, lo que garantiza que en su proceso de producción se utiliza madera virgen, sin ningún tipo de aditivo químico.</p>
<p>Cuenta con el certificado EN Plus A1, que garantiza que se ha utilizado madera virgen, sin tratamientos químicos y utilizando los mejores procesos productivos para confeccionar un producto óptimo para el mejor rendimiento de las estufas/calderas.</p>
<p>Ensacado en papel para reducir su impacto medioambiental. También cuenta con la certificación sello PEFC, que certifica que la madera que contiene proviene de bosques gestionados de forma sostenible y respetuosa con el medioambiente.</p>
<p>Humedad: 5,4 %</p>
<p>Poder Calorífico: 18,1 Mj/kg</p>
<p>Finos: &lt; 0,1 %</p>
<p>Durabilidad mecánica: 99,2 %</p>
<p>Cenizas: 0,5%</p>
<p>Sin ningún tipo de aditivo.</p>","Maderas y Palets San Cristobal Sl","Pellets","pellets,biomasse,chauffage","TRUE","Titre","Par défaut","220.00","","","deny","manual","TRUE","TRUE","","kg","https://pelletsherrera.es/27-large_default/naturpellet-palet-70-sacos.jpg",1
"palet-de-77-sacos-de-pellet-huella-verde-a1","PALET DE 77 SACOS DE PELLET HUELLA VERDE A1+","<p>Pallet de sacos de Pellet compuesto por 77 unidades.</p>
<p>Pellets de madera premium 100% natural Huella Verde.</p>
<p>Ultracompactos y de larga duración.</p>
<p>Medidas: Ø 6 x long. 3,15-40 mm.</p>
<p>Combustión óptima -sin aditivos- para un menor mantenimiento de la caldera.</p>
<p>Procedente de residuos y subproductos de madera y fuste.</p>
<p>Bolsa 100 % reciclable: elaborada con un 60 % de plástico reciclado.</p>
<p>Uso recomendado: combustible en estufas, calderas y hornos aptos para pellet.</p>","Maderas y Palets San Cristobal Sl","Pellets","pellets,biomasse,chauffage","TRUE","Titre","Par défaut","210.00","","","deny","manual","TRUE","TRUE","","kg","https://pelletsherrera.es/26-large_default/palet-de-77-sacos-de-pellet-huella-verde-a1.jpg",1
"palet-briquetas-de-madera","PALET BRIQUETAS DE MADERA","<p>Combustible 100 % ecológico.</p>
<p>Forma cuadrada, fabricados con prensa RUF.</p>
<p>Envasadas en paquetes de plástico y con un peso aproximadamente 10 Kg.</p>
<p>Palet de 80 x 120 cm. lleva 96 paquetes con un peso aprox. 1000-1100 Kg.</p>
<p>Tipo de embalaje<span style=""white-space:pre;""> </span>Embalaje de plástico retractilado</p>
<p>Tipo de almacenamiento recomendado<span style=""white-space:pre;""> </span>En seco en el interior</p>
<p>Peso neto (en kg)<span style=""white-space:pre;""> </span>1000-1100</p>
<p>Cantidad de sacos por palé<span style=""white-space:pre;""> </span>96 paquetas</p>
<p>Material principal en la masa total del producto<span style=""white-space:pre;""> </span>Madera</p>
<p>Garantía (en años)<span style=""white-space:pre;""> </span>3</p>","Maderas y Palets San Cristobal Sl","Pellets","pellets,biomasse,chauffage","TRUE","Titre","Par défaut","300.00","","","deny","manual","TRUE","TRUE","","kg","https://pelletsherrera.es/24-large_default/palet-briquetas-de-madera.jpg",1
